time,id,position,speed,lane,type,in_accident,emergency_braking,alert_received,msgs_forwarded,msgs_suppressed
0.0,V15,50,104.30247805587388,1,car,False,False,False,0,0
0.0,V16,56.210363391999884,128.01523537567658,2,car,False,False,False,0,0
0.0,V17,81.92655176724224,86.15973907736864,1,car,False,False,False,0,0
0.0,V18,107.22048277830456,110.32373278370586,2,truck,False,False,False,0,0
0.0,V19,129.09377201517285,109.15162136738304,1,motorcycle,False,False,False,0,0
0.0,V20,166.64974473794163,104.13139361862649,2,car,False,False,False,0,0
0.0,V21,181.18663893819266,139.0861782021397,1,car,False,False,False,0,0
0.0,V22,216.40803772731414,87.45233755929863,2,car,False,False,False,0,0
0.0,V23,236.95190519775198,146.9122728690927,1,truck,False,False,False,0,0
0.0,V24,265.7299834516866,134.7135836401105,2,truck,False,False,False,0,0
0.0,V25,298.9513931777017,105.93975330419913,1,car,False,False,False,0,0
0.0,V26,321.94096515446375,134.18358060625326,2,car,False,False,False,0,0
0.0,V27,345.40799395590443,80.2233959938076,1,motorcycle,False,False,False,0,0
0.0,V28,350,142.6125647546147,2,motorcycle,False,False,False,0,0
