time,cams,denms,alerted,suppressed,rsu_relays,avg_ms,risk,min_gap
0.0,0,0,0,0,0,0.0,0,0.0
0.3462066650390625,0,0,0,0,0,0.0,0,162.75247334970436
0.8454766273498535,14,0,0,0,0,0.0,0,164.06793487386904
1.3979315757751465,14,0,0,0,0,0.0,0,165.52352660449196
1.8730995655059814,28,0,0,0,0,0.0,0,166.77548497409362
2.38606595993042,28,0,0,0,0,0.0,0,168.12703344685133
2.843614339828491,42,0,0,0,0,0.0,0,169.33256819685766
3.349407434463501,42,0,0,0,0,0.0,0,170.6652166744493
3.859114408493042,56,0,0,0,0,0.0,0,172.00817732409678
4.370238304138184,56,0,0,0,0,0.0,0,173.35487123632493
4.880308628082275,70,0,0,0,0,0.0,0,174.69878922943053
5.391608476638794,70,0,0,0,0,0.0,0,176.04594673711335
5.965969562530518,84,0,0,0,0,0.0,0,177.55925610179293
6.4816718101501465,84,0,0,0,0,0.0,0,178.91801291850425
7.011277914047241,98,0,0,0,0,0.0,0,180.31340319877472
7.471351861953735,98,0,0,0,0,0.0,0,181.52559223963044
7.948560476303101,112,0,0,0,0,0.0,0,182.78292718578086
8.433584690093994,112,0,0,0,0,0.0,0,184.06085443895927
8.938847780227661,126,0,0,0,0,0.0,0,178.81486325349488
9.476274490356445,126,0,0,0,0,0.0,0,165.38749381758726
9.988706588745117,140,0,0,0,0,0.0,0,151.5342571156632
10.490090131759644,140,0,0,0,0,0.0,0,137.12142167627894
11.00809121131897,154,0,0,0,0,0.0,0,122.23089640649437
11.499878168106079,154,0,0,0,0,0.0,0,108.09392566191832
11.9804048538208,168,0,0,0,0,0.0,30,94.28064410943966
12.476614952087402,168,0,0,0,0,0.0,30,80.01652517430739
12.942531824111938,182,0,0,0,0,0.0,30,66.6232191943227
13.46156358718872,182,0,0,0,0,0.0,30,51.70306576435155
13.94200587272644,196,0,0,0,0,0.0,30,37.892210390153195
14.466997146606445,196,0,0,0,0,0.0,30,22.800744100590236
14.964603424072266,210,1,4,1,4,8.88450817899097,30,17.181720007565218
15.58148717880249,224,1,4,1,4,8.88450817899097,30,8.693619428045622
