time,cams,denms,alerted,suppressed,rsu_relays,avg_ms,risk,min_gap
0.0,0,0,0,0,0,0.0,0,0.0
0.7648794651031494,0,0,0,0,0,0.0,100,4.453728769344025
1.7632341384887695,14,0,0,0,0,0.0,100,1.184103007671439
2.589381694793701,28,1,13,11,2,42.197488571170766,100,2.2668739896370766
4.256962537765503,42,1,13,11,2,42.197488571170766,100,5.403758456748733
5.219493627548218,56,1,13,11,2,42.197488571170766,100,3.912809978796986
6.291091203689575,70,2,13,20,7,57.36390743755174,100,1.366199393180466
8.02439260482788,84,3,13,29,12,82.74361434863987,90,1.2243544230660746
10.153437852859497,98,4,13,35,20,80.63048932863785,100,2.3410449274618372
12.608101844787598,112,4,13,35,20,80.63048932863785,100,4.696587949218838
14.007912397384644,126,4,13,35,20,80.63048932863785,100,0.03179016914771182
14.936646223068237,140,4,13,35,20,80.63048932863785,100,3.80436103121815
16.066577196121216,154,5,13,44,25,76.6885940145634,100,1.839359252211466
17.67492914199829,168,5,13,44,25,76.6885940145634,100,4.897615063303306
18.796606063842773,182,5,13,44,25,76.6885940145634,100,1.3785184078719794
