time,id,position,speed,lane,type,in_accident,emergency_braking,alert_received,msgs_forwarded,msgs_suppressed
0.0,V15,50,85.25673046858574,1,motorcycle,False,False,False,0,0
0.0,V16,61.31093271106896,83.49740785627266,2,truck,False,False,False,0,0
0.0,V17,83.26528277816088,125.19310799287692,1,car,False,False,False,0,0
0.0,V18,104.94696067555773,136.11704035350962,2,motorcycle,False,False,False,0,0
0.0,V19,138.27528281268505,92.93251736263633,1,motorcycle,False,False,False,0,0
0.0,V20,153.53504836095183,99.59720165539255,2,car,False,False,False,0,0
0.0,V21,188.59233631336932,133.76603948101783,1,motorcycle,False,False,False,0,0
0.0,V22,211.42676402413912,84.72733911845718,2,motorcycle,False,False,False,0,0
0.0,V23,246.747031706818,80.14046182503475,1,car,False,False,False,0,0
0.0,V24,264.8648843097799,97.24573127106044,2,car,False,False,False,0,0
0.0,V25,300.5490572576129,109.33961057176896,1,truck,False,False,False,0,0
0.0,V26,314.02135478886237,102.74622093581021,2,truck,False,False,False,0,0
0.0,V27,350,120.24137110088355,1,car,False,False,False,0,0
0.0,V28,350,99.27934466253963,2,car,False,False,False,0,0
0.7648794651031494,V15,68.11420066590424,85.25673046858574,1,motorcycle,False,False,False,0,0
0.7648794651031494,V16,79.6363768234847,86.250973930644,2,truck,False,False,False,0,0
0.7648794651031494,V17,109.86462652154769,125.19310799287692,1,car,False,False,False,0,0
0.7648794651031494,V18,133.86727429139557,136.11704035350962,2,motorcycle,False,False,False,0,0
0.7648794651031494,V19,158.0203311935246,92.93251736263633,1,motorcycle,False,False,False,0,0
0.7648794651031494,V20,174.6961190076038,99.59720165539255,2,car,False,False,False,0,0
0.7648794651031494,V21,217.0131409598159,133.76603948101783,1,motorcycle,False,False,False,0,0
0.7648794651031494,V22,229.42848675317765,84.72733911845718,2,motorcycle,False,False,False,0,0
0.7648794651031494,V23,263.77419658844354,80.14046182503475,1,car,False,False,False,0,0
0.7648794651031494,V24,285.5263462314947,97.24573127106044,2,car,False,False,False,0,0
0.7648794651031494,V25,323.78006360447995,109.33961057176896,1,truck,False,False,False,0,0
0.7648794651031494,V26,335.85148659740474,102.74622093581021,2,truck,False,False,False,0,0
0.7648794651031494,V27,375.54726544747587,120.24137110088355,1,car,False,False,False,0,0
0.7648794651031494,V28,371.09353667813184,99.27934466253963,2,car,False,False,False,0,0
1.7632341384887695,V15,91.75766047170723,85.25673046858574,1,motorcycle,False,False,False,0,0
1.7632341384887695,V16,104.55227301838886,89.84505075483223,2,truck,False,False,False,0,0
